uid,param__start_size,param__ill_rel_deg_thr,param__gen_count,param__min_offspring,param__max_offspring,param__min_gen_grow,param__max_gen_grow,param__death_age,param__min_marry_age,param__max_marry_age,param__gene_healthy_weight,param__gene_trait_weight,param__gene_affect_weight,end_size,total_die_dis_count,total_die_age_count,total_stop_marry_count
1617570416.560968,1000,1,20,0,6,16,19,80,18,60,0.9,0.1,0,27799,543,8186,0
1617570418.966974,1000,2,20,0,6,16,19,80,18,60,0.9,0.1,0,27900,579,8351,6
1617570421.714444,1000,3,20,0,6,16,19,80,18,60,0.9,0.1,0,24536,501,7974,12
1617570424.715554,1000,4,20,0,6,16,19,80,18,60,0.9,0.1,0,26113,539,7939,37
1617570429.1623769,1000,5,20,0,6,16,19,80,18,60,0.9,0.1,0,27366,616,8506,78
1617570437.130538,4000,1,20,0,6,16,19,80,18,60,0.9,0.1,0,111584,2106,33473,0
1617570448.055806,4000,2,20,0,6,16,19,80,18,60,0.9,0.1,0,113394,2349,34124,8
1617570460.360838,4000,3,20,0,6,16,19,80,18,60,0.9,0.1,0,111258,2322,33176,15
1617570474.7559922,4000,4,20,0,6,16,19,80,18,60,0.9,0.1,0,114891,2361,34199,39
1617570495.079329,4000,5,20,0,6,16,19,80,18,60,0.9,0.1,0,111782,2252,33662,91
1617570530.269336,16000,1,20,0,6,16,19,80,18,60,0.9,0.1,0,455424,8617,133990,0
1617570587.7956219,16000,2,20,0,6,16,19,80,18,60,0.9,0.1,0,458921,9135,136473,9
1617570650.9202628,16000,3,20,0,6,16,19,80,18,60,0.9,0.1,0,455347,8775,135912,9
1617570723.682372,16000,4,20,0,6,16,19,80,18,60,0.9,0.1,0,455290,8861,135419,39
1617570818.610073,16000,5,20,0,6,16,19,80,18,60,0.9,0.1,0,465333,8962,137751,74
