uid,s__die_dis_count,s__die_age_count,s__stop_marry_count,s__offspring_count,s__end_size,p__start_size,p__ill_rel_deg_thr,p__gen_count,p__min_offspring,p__max_offspring,p__min_gen_grow,p__max_gen_grow,p__death_age,p__min_marry_age,p__max_marry_age,p__gene_healthy_weight,p__gene_trait_weight,p__gene_affect_weight
1617571945.077004,521,8618,0,36049,27910,1000,1,20,0,6,16,19,80,18,60,0.9,0.1,0
1617571947.625752,558,8798,9,36772,28416,1000,2,20,0,6,16,19,80,18,60,0.9,0.1,0
1617571950.551668,497,7711,17,32037,24829,1000,3,20,0,6,16,19,80,18,60,0.9,0.1,0
1617571953.6326568,576,8655,37,37286,29055,1000,4,20,0,6,16,19,80,18,60,0.9,0.1,0
1617571958.861666,2189,33552,0,144409,112668,4000,1,20,0,6,16,19,80,18,60,0.9,0.1,0
1617571969.966861,2275,32048,3,133869,103546,4000,2,20,0,6,16,19,80,18,60,0.9,0.1,0
1617571981.549344,2211,33961,11,145771,113599,4000,3,20,0,6,16,19,80,18,60,0.9,0.1,0
1617571996.470179,2188,34266,57,148468,116014,4000,4,20,0,6,16,19,80,18,60,0.9,0.1,0
1617572018.032455,9002,132923,0,571154,445229,16000,1,20,0,6,16,19,80,18,60,0.9,0.1,0
1617572075.6475892,8847,134095,6,573104,446162,16000,2,20,0,6,16,19,80,18,60,0.9,0.1,0
1617572137.558727,8883,135084,13,581415,453448,16000,3,20,0,6,16,19,80,18,60,0.9,0.1,0
1617572209.0784461,8951,135878,33,587041,458212,16000,4,20,0,6,16,19,80,18,60,0.9,0.1,0
